Player;Agencia ;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK;Agencia 
Alessandro Riep;;0;MF,FW;Audax Italiano;Primera Division Chile;0;0;10;5;475;53;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gabriel Hachen;;ar ARG;MF,FW;Audax Italiano;Primera Division Chile;32;1990;24;12;1.183;131;2;5;7;2;0;0;3;0;15;38;53;15;53;
Fernando Juárez;;ar ARG;MF;Audax Italiano;Primera Division Chile;24;1998;20;19;1.634;182;0;0;0;0;0;0;12;1;0;0;0;0;0;
Gonzalo Ríos;;ar ARG;MF,FW;Audax Italiano;Primera Division Chile;24;1999;24;18;1.424;158;8;2;10;8;0;0;2;0;51;13;63;51;63;
Gonzalo Sosa;;ar ARG;FW;Audax Italiano;Primera Division Chile;34;1989;26;25;2.199;244;10;3;13;6;4;5;6;1;41;12;53;25;37;
Matías Sepúlveda;Vibra Futbol ;cl CHI;MF;Audax Italiano;Primera Division Chile;23;1999;27;21;1.764;196;3;3;6;3;0;0;4;0;15;15;31;15;31;
Osvaldo Bosso;;cl CHI;DF;Audax Italiano;Primera Division Chile;29;1993;20;20;1.688;188;2;1;3;2;0;0;5;1;11;5;16;11;16;
Marco Collao;Vibra Futbol ;cl CHI;MF;Audax Italiano;Primera Division Chile;24;1998;21;11;1.113;124;2;1;3;2;0;0;4;0;16;8;24;16;24;
Nicolás Fernández;Vibra Futbol ;cl CHI;DF,MF;Audax Italiano;Primera Division Chile;23;1999;24;20;1.618;180;0;3;3;0;0;0;2;1;0;17;17;0;17;
Oliver Rojas;;cl CHI;DF,MF;Audax Italiano;Primera Division Chile;22;2000;26;15;1.569;174;1;2;3;1;0;0;4;1;6;11;17;6;17;
Michael Fuentes;Talento Deportivo;cl CHI;FW,MF;Audax Italiano;Primera Division Chile;24;1998;24;17;1.536;171;1;1;2;1;0;0;6;2;6;6;12;6;12;
Ignacio Fuenzalida;;cl CHI;FW;Audax Italiano;Primera Division Chile;20;2002;3;2;117;13;2;0;2;2;0;0;0;0;154;0;154;154;154;
Marcelo Díaz;AIM Futbol ;cl CHI;MF;Audax Italiano;Primera Division Chile;36;1986;21;20;1.601;178;0;1;1;0;0;0;2;0;0;6;6;0;6;
Esteban Matus;Vibra Futbol ;cl CHI;DF;Audax Italiano;Primera Division Chile;20;2002;28;21;1.968;219;0;1;1;0;0;0;4;0;0;5;5;0;5;
Diego Monreal;Mauricio Méndez;cl CHI;DF,MF;Audax Italiano;Primera Division Chile;20;2002;11;5;463;51;1;0;1;1;0;0;1;0;19;0;19;19;19;
Fabián Torres Cuello;Mundo Futuro Chile;cl CHI;DF;Audax Italiano;Primera Division Chile;33;1989;11;7;644;72;1;0;1;1;0;0;2;0;14;0;14;14;14;
Tomás Ahumada;Mundo Futuro Chile;cl CHI;GK;Audax Italiano;Primera Division Chile;21;2001;25;25;2.25;250;0;0;0;0;0;0;2;0;0;0;0;0;0;
Gonzalo Alvarez;;cl CHI;FW;Audax Italiano;Primera Division Chile;26;1997;22;2;430;48;0;0;0;0;0;0;3;2;0;0;0;0;0;
Roberto Cereceda;;cl CHI;DF,MF;Audax Italiano;Primera Division Chile;38;1984;19;9;733;81;0;0;0;0;0;0;7;0;0;0;0;0;0;
Ian Godoy;;cl CHI;MF;Audax Italiano;Primera Division Chile;20;2003;1;0;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
Carlos Labrín;Mundo Futuro Chile;cl CHI;DF;Audax Italiano;Primera Division Chile;32;1990;23;23;2.041;227;0;0;0;0;0;0;10;2;0;0;0;0;0;
Cristóbal Muñoz;Vibra Futbol ;cl CHI;DF;Audax Italiano;Primera Division Chile;23;1999;1;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Joaquín Muñoz;;cl CHI;GK;Audax Italiano;Primera Division Chile;32;1990;5;5;450;50;0;0;0;0;0;0;1;0;0;0;0;0;0;
Sebastián Pereira;;cl CHI;DF;Audax Italiano;Primera Division Chile;24;1999;10;6;645;72;0;0;0;0;0;0;1;0;0;0;0;0;0;
Javier Quiñones;Vibra Futbol ;cl CHI;MF;Audax Italiano;Primera Division Chile;20;2002;3;0;35;4;0;0;0;0;0;0;1;0;0;0;0;0;0;
Bastián Tapia;;cl CHI;DF;Audax Italiano;Primera Division Chile;20;2002;4;3;276;31;0;0;0;0;0;0;0;0;0;0;0;0;0;
Luis Riveros;;py PAR;FW;Audax Italiano;Primera Division Chile;24;1998;16;11;959;107;2;0;2;2;0;0;3;0;19;0;19;19;19;
Jhonatan Candia;;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;10;8;617;69;0;1;1;0;0;0;1;0;0;15;15;0;15;
Alejandro Camargo;;ar ARG;MF;Cobresal;Primera Division Chile;33;1989;29;29;2.564;285;5;2;7;5;0;0;5;0;18;7;25;18;25;
Lucas Di Maio;;ar ARG;FW;Cobresal;Primera Division Chile;18;2005;1;0;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
Franco García;;ar ARG;MF,FW;Cobresal;Primera Division Chile;25;1997;30;19;1.832;204;3;3;6;3;0;0;4;0;15;15;29;15;29;
Gastón Lezcano;;ar ARG;FW,MF;Cobresal;Primera Division Chile;36;1986;28;16;1.488;165;10;6;16;10;0;0;1;0;60;36;97;60;97;
Leandro Requena;;ar ARG;GK;Cobresal;Primera Division Chile;35;1987;25;25;2.25;250;1;0;1;1;0;0;2;0;4;0;4;4;4;
Maxmiliano Walter Rueda;;ar ARG;MF;Cobresal;Primera Division Chile;25;1997;20;3;477;53;1;1;2;1;0;0;0;0;19;19;38;19;38;
Leonardo Valencia;Vibra Futbol ;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;28;24;1.984;220;6;6;12;5;1;1;6;0;27;27;54;23;50;
Guillermo Pacheco;Mundo Futuro Chile;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;25;24;2.169;241;4;5;9;4;0;0;7;1;17;21;37;17;37;
Cristopher Mesías;Unosports Limitada;cl CHI;MF;Cobresal;Primera Division Chile;24;1998;23;8;978;109;3;1;4;3;0;0;8;0;28;9;37;28;37;
Julio Castro Gutierrez;;cl CHI;FW;Cobresal;Primera Division Chile;26;1996;13;4;385;43;3;0;3;3;0;0;0;0;70;0;70;70;70;
Nelson Sepúlveda;;cl CHI;MF;Cobresal;Primera Division Chile;31;1992;24;13;1.205;134;1;2;3;1;0;0;6;0;7;15;22;7;22;
Francisco Alarcón;;cl CHI;DF;Cobresal;Primera Division Chile;32;1990;26;26;2.295;255;1;0;1;1;0;0;7;0;4;0;4;4;4;
Pablo Cárdenas;;cl CHI;DF;Cobresal;Primera Division Chile;22;2000;9;4;386;43;1;0;1;1;0;0;0;0;23;0;23;23;23;
Diego Céspedes;;cl CHI;DF;Cobresal;Primera Division Chile;24;1998;20;17;1.552;172;0;1;1;0;0;0;6;1;0;6;6;0;6;
Marcelo Jorquera;RSMTM;cl CHI;DF;Cobresal;Primera Division Chile;30;1992;28;28;2.506;278;0;1;1;0;0;0;6;0;0;4;4;0;4;
Luis Vásquez;;cl CHI;MF,FW;Cobresal;Primera Division Chile;21;2002;17;9;664;74;0;1;1;0;0;0;1;0;0;14;14;0;14;
Iván Contreras;;cl CHI;DF;Cobresal;Primera Division Chile;21;2001;2;1;91;10;0;0;0;0;0;0;1;0;0;0;0;0;0;
Marcelo Filla;;cl CHI;DF;Cobresal;Primera Division Chile;24;1998;4;2;173;19;0;0;0;0;0;0;0;0;0;0;0;0;0;
Benjamin Osses;;cl CHI;MF;Cobresal;Primera Division Chile;20;2002;3;2;107;12;0;0;0;0;0;0;0;0;0;0;0;0;0;
Yerco Oyanedel;;cl CHI;DF;Cobresal;Primera Division Chile;22;2000;5;1;126;14;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ignacio Pacheco;;cl CHI;MF;Cobresal;Primera Division Chile;18;2004;4;4;241;27;0;0;0;0;0;0;0;0;0;0;0;0;0;
Alejandro Santander;Vis10n Futbol;cl CHI;GK;Cobresal;Primera Division Chile;20;2002;5;5;450;50;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sebastián Silva;;cl CHI;DF;Cobresal;Primera Division Chile;31;1991;16;14;1.265;141;0;0;0;0;0;0;3;0;0;0;0;0;0;
Cristian Toro;Talento Deportivo;cl CHI;DF;Cobresal;Primera Division Chile;22;2000;6;3;323;36;0;0;0;0;0;0;0;0;0;0;0;0;0;
César Munder;Vibra Futbol ;cu CUB;MF,FW;Cobresal;Primera Division Chile;23;2000;28;25;2.077;231;5;3;8;5;0;0;10;0;22;13;35;22;35;
Cecilio Waterman;;pa PAN;FW;Cobresal;Primera Division Chile;31;1991;25;24;2.075;231;10;2;12;5;5;5;8;0;43;9;52;22;30;
Agustín Bouzat;;ar ARG;MF,DF;Colo-Colo;Primera Division Chile;28;1994;24;12;1.296;144;0;1;1;0;0;0;3;0;0;7;7;0;7;
Leonardo Gil;;ar ARG;MF;Colo-Colo;Primera Division Chile;31;1991;22;20;1.607;179;3;4;7;3;0;0;4;1;17;22;39;17;39;
Ramiro González Hernández;;ar ARG;DF;Colo-Colo;Primera Division Chile;32;1990;22;20;1.799;200;0;0;0;0;0;0;5;0;0;0;0;0;0;
Matías Moya;;ar ARG;FW;Colo-Colo;Primera Division Chile;24;1998;8;3;190;21;0;0;0;0;0;0;0;0;0;0;0;0;0;
Carlos Palacios;Unosports Limitada;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;23;17;1.597;177;7;3;10;4;3;3;3;1;39;17;56;23;39;
Damián Pizarro;Vibra Futbol ;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;22;16;1.503;167;6;4;10;5;1;1;4;0;36;24;60;30;54;
Marcos Bolados;Vibra Futbol ;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;26;15;1.378;153;3;6;9;3;0;0;2;0;20;39;59;20;59;
Leandro Benegas;Mundo Futuro Chile;cl CHI;FW;Colo-Colo;Primera Division Chile;34;1988;25;14;1.095;122;6;1;7;5;1;1;3;0;49;8;58;41;49;
Jordhy Thompson;;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;18;2004;15;11;758;84;3;2;5;3;0;0;0;0;36;24;59;36;59;
Érick Wiemberg;;cl CHI;DF;Colo-Colo;Primera Division Chile;28;1994;20;18;1.542;171;2;1;3;2;0;0;1;0;12;6;18;12;18;
César Fuentes;Vibra Futbol ;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;29;1993;25;22;1.963;218;2;0;2;2;0;0;3;0;9;0;9;9;9;
Bruno Gutiérrez;Next level Sports Managament;cl CHI;MF,DF;Colo-Colo;Primera Division Chile;20;2002;10;8;628;70;0;2;2;0;0;0;1;1;0;29;29;0;29;
Óscar Opazo;Mundo Futuro Chile;cl CHI;DF;Colo-Colo;Primera Division Chile;32;1990;10;6;600;67;1;1;2;1;0;0;3;0;15;15;30;15;30;
Alexander Oroz;Vibra Futbol ;cl CHI;FW;Colo-Colo;Primera Division Chile;20;2002;13;2;369;41;2;0;2;2;0;0;1;0;49;0;49;49;49;
Pablo Parra;Vibra Futbol ;cl CHI;FW;Colo-Colo;Primera Division Chile;28;1994;8;6;487;54;0;2;2;0;0;0;0;0;0;37;37;0;37;
Vicente Pizarro;Vibra Futbol ;cl CHI;MF;Colo-Colo;Primera Division Chile;20;2002;24;20;1.532;170;2;0;2;2;0;0;2;0;12;0;12;12;12;
Esteban Pavez;Mundo Futuro Chile;cl CHI;MF;Colo-Colo;Primera Division Chile;32;1990;26;26;2.31;257;1;0;1;1;0;0;11;1;4;0;4;4;4;
Brayan Cortés;Vibra Futbol ;cl CHI;GK;Colo-Colo;Primera Division Chile;27;1995;21;21;1.815;202;0;0;0;0;0;0;0;1;0;0;0;0;0;
Daniel Gutiérrez;AIM Futbol ;cl CHI;DF;Colo-Colo;Primera Division Chile;19;2003;15;8;722;80;0;0;0;0;0;0;1;0;0;0;0;0;0;
Leonardo Hernandez;;cl CHI;DF;Colo-Colo;Primera Division Chile;23;1999;2;0;64;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fernando de Paul;Talento Deportivo;cl CHI;GK;Colo-Colo;Primera Division Chile;31;1991;10;9;881;98;0;0;0;0;0;0;1;0;0;0;0;0;0;
Jeyson Rojas;;cl CHI;DF,MF;Colo-Colo;Primera Division Chile;21;2002;12;7;663;74;0;0;0;0;0;0;3;0;0;0;0;0;0;
Lucas Soto;AIM Futbol ;cl CHI;MF;Colo-Colo;Primera Division Chile;19;2003;2;0;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fabián Castillo;;co COL;MF,FW;Colo-Colo;Primera Division Chile;30;1992;12;7;686;76;2;2;4;2;0;0;1;0;26;26;52;26;52;
Marco Rojas;;nz NZL;MF;Colo-Colo;Primera Division Chile;31;1991;4;1;126;14;0;1;1;0;0;0;1;0;0;71;71;0;71;
Dario Lezcano;;py PAR;FW;Colo-Colo;Primera Division Chile;32;1990;8;1;258;29;3;0;3;3;0;0;0;0;105;0;105;105;105;
Emiliano Amor;;sy SYR;DF;Colo-Colo;Primera Division Chile;27;1995;1;1;90;10;0;0;0;0;0;0;0;0;0;0;0;0;0;
Matías De los Santos;;uy URU;DF;Colo-Colo;Primera Division Chile;30;1992;6;4;372;41;0;0;0;0;0;0;1;0;0;0;0;0;0;
Maximiliano Falcón;;uy URU;DF;Colo-Colo;Primera Division Chile;25;1997;21;21;1.819;202;0;1;1;0;0;0;8;3;0;5;5;0;5;
Alan Saldivia;;uy URU;DF;Colo-Colo;Primera Division Chile;20;2002;17;14;1.294;144;0;0;0;0;0;0;1;0;0;0;0;0;0;
Bruno Cabrera;;ar ARG;DF;Coquimbo Unido;Primera Division Chile;25;1997;6;6;479;53;1;0;1;1;0;0;1;0;19;0;19;19;19;
Dylan Glaby;;ar ARG;MF;Coquimbo Unido;Primera Division Chile;26;1996;26;25;2.269;252;1;1;2;1;0;0;10;1;4;4;8;4;8;
Rodrigo Holgado;;ar ARG;FW;Coquimbo Unido;Primera Division Chile;27;1995;27;27;2.359;262;16;3;19;12;4;4;4;0;61;11;72;46;57;
Matías Palavecino;;ar ARG;MF;Coquimbo Unido;Primera Division Chile;24;1998;18;7;731;81;1;1;2;1;0;0;2;0;12;12;25;12;25;
Salvador Sánchez;;ar ARG;DF;Coquimbo Unido;Primera Division Chile;27;1995;24;24;2.155;239;2;0;2;2;0;0;7;1;8;0;8;8;8;
Luciano Cabral;;cl CHI;MF,FW;Coquimbo Unido;Primera Division Chile;27;1995;29;24;2.124;236;5;4;9;5;0;0;1;0;21;17;38;21;38;
Javier Parraguez;;cl CHI;FW,MF;Coquimbo Unido;Primera Division Chile;33;1989;18;7;777;86;4;5;9;4;0;0;1;1;46;58;104;46;104;
Juan Cornejo;Mundo Futuro Chile;cl CHI;DF;Coquimbo Unido;Primera Division Chile;32;1990;29;29;2.609;290;0;7;7;0;0;0;7;0;0;24;24;0;24;
Rubén Farfán;;cl CHI;MF,FW;Coquimbo Unido;Primera Division Chile;31;1991;27;25;2.118;235;4;3;7;4;0;0;6;0;17;13;30;17;30;
Benjamín Chandia;Mundo Futuro Chile;cl CHI;MF,FW;Coquimbo Unido;Primera Division Chile;20;2002;24;24;1.55;172;3;2;5;3;0;0;3;0;17;12;29;17;29;
Nicolás Rivera;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;24;1998;24;0;437;49;2;1;3;2;0;0;2;0;41;21;62;41;62;
Joe Abrigo;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;27;1995;7;1;195;22;2;0;2;1;1;1;1;0;92;0;92;46;46;
Cristopher Barrera;Mundo Futuro Chile;cl CHI;MF;Coquimbo Unido;Primera Division Chile;24;1998;6;1;170;19;1;1;2;1;0;0;1;0;53;53;106;53;106;
Fabián Carmona;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;28;1994;14;2;344;38;1;1;2;1;0;0;2;0;26;26;52;26;52;
Diego Carrasco;Mundo Futuro Chile;cl CHI;DF;Coquimbo Unido;Primera Division Chile;27;1995;20;19;1.741;193;1;0;1;1;0;0;4;0;5;0;5;5;5;
Dylan Escobar;Mundo Futuro Chile;cl CHI;DF;Coquimbo Unido;Primera Division Chile;22;2000;27;25;2.242;249;0;1;1;0;0;0;3;0;0;4;4;0;4;
Cristian Aravena;;cl CHI;FW;Coquimbo Unido;Primera Division Chile;24;1998;4;0;87;10;0;0;0;0;0;0;1;0;0;0;0;0;0;
Felipe Barrientos;;cl CHI;FW,MF;Coquimbo Unido;Primera Division Chile;25;1997;1;0;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;
Levit Bejar;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;19;2003;4;2;135;15;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jhon Bravo;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;21;2001;3;0;24;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
Wladimir Cid;;cl CHI;FW;Coquimbo Unido;Primera Division Chile;25;1997;1;1;45;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sebastián Galani;Mundo Futuro Chile;cl CHI;MF;Coquimbo Unido;Primera Division Chile;25;1997;29;29;2.334;259;0;0;0;0;0;0;4;0;0;0;0;0;0;
César Huanca;;cl CHI;FW;Coquimbo Unido;Primera Division Chile;21;2001;5;0;38;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gonzalo Jara;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;37;1985;3;1;48;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ignacio Mesina;Mundo Futuro Chile;cl CHI;DF;Coquimbo Unido;Primera Division Chile;22;2001;5;5;399;44;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Orellana;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;21;2002;1;1;67;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Luis Pavez Contreras;;cl CHI;MF;Coquimbo Unido;Primera Division Chile;34;1988;13;3;315;35;0;0;0;0;0;0;1;0;0;0;0;0;0;
Miguel Pinto;Mundo Futuro Chile;cl CHI;GK;Coquimbo Unido;Primera Division Chile;39;1983;1;1;90;10;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Sánchez Carvajal;Unosports Limitada;cl CHI;GK;Coquimbo Unido;Primera Division Chile;35;1987;29;29;2.61;290;0;0;0;0;0;0;7;0;0;0;0;0;0;
Filipe Yanez;;cl CHI;DF;Coquimbo Unido;Primera Division Chile;18;2004;5;1;199;22;0;0;0;0;0;0;1;0;0;0;0;0;0;
Sebastián Cardozo;;uy URU;DF;Coquimbo Unido;Primera Division Chile;27;1995;11;11;977;109;0;0;0;0;0;0;2;1;0;0;0;0;0;
Franco Bechtholdt;;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;23;20;1.775;197;0;0;0;0;0;0;7;0;0;0;0;0;0;
Matías Cahais;;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;17;17;1.497;166;0;1;1;0;0;0;2;1;0;6;6;0;6;
Federico Castro;;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;21;14;1.342;149;5;2;7;1;4;5;5;0;34;13;47;7;20;
Tobías Figueroa;;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;25;10;1.129;125;1;1;2;1;0;0;3;0;8;8;16;8;16;
Omar Merlo;;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;20;14;1.376;153;1;0;1;1;0;0;5;0;7;0;7;7;7;
Cristián Zavala;Mundo Futuro Chile;cl CHI;MF,FW;Curico Unido;Primera Division Chile;23;1999;26;20;1.801;200;1;8;9;1;0;0;8;0;5;40;45;5;45;
Jason Flores;;cl CHI;MF,FW;Curico Unido;Primera Division Chile;25;1997;24;13;1.152;128;3;0;3;3;0;0;1;0;23;0;23;23;23;
Nicolás Barrios;;cl CHI;FW,MF;Curico Unido;Primera Division Chile;19;2003;16;13;943;105;2;0;2;2;0;0;0;0;19;0;19;19;19;
Kennet Lara;;cl CHI;DF;Curico Unido;Primera Division Chile;23;1999;8;6;530;59;2;0;2;2;0;0;0;0;34;0;34;34;34;
Yerko Leiva;AIM Futbol ;cl CHI;MF;Curico Unido;Primera Division Chile;24;1998;27;25;1.989;221;2;0;2;2;0;1;2;1;9;0;9;9;9;
Cristopher Barrera;;cl CHI;DF;Curico Unido;Primera Division Chile;24;1998;5;4;395;44;0;1;1;0;0;0;0;0;0;23;23;0;23;
Augusto Barrios;;cl CHI;DF,MF;Curico Unido;Primera Division Chile;31;1991;22;13;1.24;138;1;0;1;1;0;0;7;1;7;0;7;7;7;
Sebastian Cabrera;;cl CHI;DF;Curico Unido;Primera Division Chile;24;1998;12;11;987;110;1;0;1;1;0;0;4;0;9;0;9;9;9;
Joaquin Gonzalez;;cl CHI;DF,MF;Curico Unido;Primera Division Chile;21;2001;12;7;590;66;0;1;1;0;0;0;1;1;0;15;15;0;15;
Ronald de la Fuente;;cl CHI;DF,MF;Curico Unido;Primera Division Chile;32;1991;19;19;1.665;185;0;1;1;0;0;0;5;0;0;5;5;0;5;
Felipe Ortiz;;cl CHI;MF;Curico Unido;Primera Division Chile;21;2001;14;9;785;87;0;1;1;0;0;0;2;0;0;11;11;0;11;
Mario Sandoval;;cl CHI;MF;Curico Unido;Primera Division Chile;31;1991;22;18;1.693;188;1;0;1;1;0;0;8;1;5;0;5;5;5;
Dilan Acevedo;;cl CHI;MF;Curico Unido;Primera Division Chile;19;2003;3;1;123;14;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ronnie Albornoz;;cl CHI;MF;Curico Unido;Primera Division Chile;0;0;2;1;64;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ian Aliaga;;cl CHI;FW;Curico Unido;Primera Division Chile;20;2002;4;4;207;23;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cristian Bustamante;Factor Futbol;cl CHI;MF,FW;Curico Unido;Primera Division Chile;20;2002;3;3;135;15;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fabián Cerda;;cl CHI;GK;Curico Unido;Primera Division Chile;33;1989;25;25;2.201;245;0;0;0;0;0;0;4;0;0;0;0;0;0;
Darko Fiamengo;AIM Futbol ;cl CHI;DF;Curico Unido;Primera Division Chile;19;2003;6;3;327;36;0;0;0;0;0;0;1;0;0;0;0;0;0;
Felipe Fritz;;cl CHI;FW,MF;Curico Unido;Primera Division Chile;25;1997;22;3;499;55;0;0;0;0;0;0;0;0;0;0;0;0;0;
Iván Garrido;;cl CHI;MF;Curico Unido;Primera Division Chile;19;2003;1;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jorge Henríquez Neira;;cl CHI;MF,FW;Curico Unido;Primera Division Chile;28;1994;2;2;180;20;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Munoz;;cl CHI;DF;Curico Unido;Primera Division Chile;20;2002;6;5;370;41;0;0;0;0;0;0;0;1;0;0;0;0;0;
Matías Ormazábal;Mauricio Méndez;cl CHI;MF;Curico Unido;Primera Division Chile;24;1998;3;1;61;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Benjamín Ortiz;;cl CHI;MF;Curico Unido;Primera Division Chile;23;1999;1;0;45;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
Matías Retamal;;cl CHI;FW;Curico Unido;Primera Division Chile;16;2006;2;0;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
Luis Santelices;;cl CHI;GK;Curico Unido;Primera Division Chile;37;1985;6;5;499;55;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Urzúa;Mauricio Méndez;cl CHI;MF;Curico Unido;Primera Division Chile;25;1997;9;2;242;27;0;0;0;0;0;0;1;0;0;0;0;0;0;
